Run_s	host_disease_s
SRR1425941	Symptomatic
SRR1425972	Asymptomatic
SRR1425973	Symptomatic
SRR1425970	Asymptomatic
SRR1425969	Symptomatic
SRR1425967	Symptomatic
SRR1425966	Asymptomatic
SRR1425964	Symptomatic
SRR1425963	Asymptomatic
SRR1425961	Asymptomatic
SRR1425960	Symptomatic
SRR1425957	Symptomatic
SRR1425959	Symptomatic
SRR1425942	Symptomatic
SRR1425943	Asymptomatic
SRR1425944	Symptomatic
SRR1425945	Symptomatic
SRR1425946	Asymptomatic
SRR1425947	Asymptomatic
SRR1425948	Asymptomatic
SRR1425949	Asymptomatic
SRR1425950	Asymptomatic
SRR1425951	Asymptomatic
SRR1425952	Symptomatic
SRR1425953	Symptomatic
SRR1425954	Asymptomatic
SRR1425955	Asymptomatic
SRR1425956	Symptomatic
SRR1802990	Asymptomatic
SRR1802991	Asymptomatic
SRR1802992	Symptomatic
SRR1802993	Symptomatic
